Zoning Authority,Project Status,Developer Name,Project Type,Project Name ,Project End Date,Escrow Agent Name ,No:of buildings,Project Status,Project Start Date,Master Project,No:of Units,No:of Villas,Area Name ,Percent Completed
Dubai Development Authority,FINISHED,Liwan (LLC),buildings,Q-Line (Q-Point Phase 2) R085,26-10-2017,Mashreq Bank (Public Joint Stock Company),1,success,01-08-2016,Liwan1,99,0,Wadi Al Safa 2,
Dubai Development Authority,PENDING,Dubai Properties (LLC),villas,The Nest Revolution Villa,,Commercial Bank of Dubai (P.S.C.),0,Under registration,15-11-2020,Al Barari,0,0,Wadi Al Safa 3,
Dubai Development Authority,NOT_STARTED,Al Jazeera Real Estate Oasis (LLC),buildings,Damac Lagoons - Lagoon Views 14,28-02-2028,First Abu Dhabi Bank PJSC,2,under construction,05-11-2024,,527,0,Al Hebiah Fifth,
Licenses,ACTIVE,Al Farjan (LLC),buildings,Rosalia Residences,,Dubai Islamic Bank (Public Joint Stock Company),1,effective,30-09-2023,Al Furjan,118,0,Jabal Ali First,
Dubai Development Authority,FINISHED,Business Bay (LLC),buildings,Benghati Canal,30-06-2023,Sharjah Islamic Bank,1,success,28-01-2022,Business Bay,306,0,Business Bay,
Dubai Development Authority,ACTIVE,Dubai Sports City (LLC),buildings,Eden Garden,31-08-2022,Bank of Baroda,1,effective,05-05-2008,Dubai Sports City,394,0,Al Hebiah Fourth,
Dubai Development Authority,FINISHED,The Lagoons Phase One LLC,buildings,Creek Race,30-06-2022,Emirates NBD Bank (P.S.C.),3,success,17-04-2017,Dubai Creek Harbour,547,0,Al Khairan First,
Dubai Development Authority,ACTIVE,Liwan (LLC),buildings,Vincitor Volari,01-06-2025,Mashreq Bank (Public Joint Stock Company),1,effective,01-12-2022,Arjan,415,0,Al Barshaa South Third,
Dubai Municipality,NOT_STARTED,Damac Miri Investments LLC,buildings,Damac Riverside Views - Royal 2,31-03-2029,Mashreq Bank (Public Joint Stock Company),2,under construction,11-08-2025,,335,0,Dubai Investment Park Second,
Dubai South,ACTIVE,Dubai Aviation City Corporation,buildings,Dear Venice 5,30-10-2025,Bank of Sharjah,2,effective,13-10-2023,Dubai World Central,484,0,Madinat Al Mataar,
Dubai Development Authority,FINISHED,Liwan (LLC),buildings,Marquez 2020,31-05-2020,Emirates Islamic Bank Public Joint Stock Company,1,success,19-05-2018,Arjan,150,0,Al Barshaa South Third,
Dubai Development Authority,FINISHED,Liwan (LLC),Villa complex,180 degrees,,Emirates NBD Bank (P.S.C.),1,success,28-11-2021,Liwan1,24,0,Wadi Al Safa 2,
Dubai South,PENDING,Dubai Aviation City Corporation,buildings,Acacia by Nesk,15-03-2027,Abu Dhabi Commercial Bank,0,Under registration,15-09-2025,Dubai South Residential District,0,0,Madinat Al Mataar,
Dubai Municipality,ACTIVE,JAG Development LLC,buildings,Hillside Residences 3,,Emirates NBD Bank (P.S.C.),5,effective,01-01-2024,Wasl Gate,306,0,Jabal Ali First,
Dubai Municipality,NOT_STARTED,Damac Miri Investments LLC,buildings,Damac Riverside Views - Capri 1,31-03-2029,Mashreq Bank (Public Joint Stock Company),5,under construction,11-08-2025,,824,0,Dubai Investment Park Second,
Dubai Development Authority,FINISHED,TECOM Investments Free Zone LLC,buildings,LAYA HEIGHTS,30-11-2023,Abu Dhabi Commercial Bank,1,success,03-10-2017,Dubai Studio City,396,0,Al Hebiah Second,
Dubai Municipality,FINISHED,Emaar Properties (P.S.C.),Villa complex,The splendor of the Emirates? Springs 10,01-01-2005,Mashreq Bank (Public Joint Stock Company),0,success,01-01-2002,Springs - 2,0,322,Al Thanayah Fourth,
Licenses,FINISHED,Jumeirah Village (LLC),buildings,Mirabella 4,18-12-2010,#VALUE!,0,success,06-04-2008,Jumeirah Village Circle,0,16,Al Barsha South Fourth,
Licenses,NOT_STARTED,Al Farjan (LLC),buildings,8 Avenue Residence,30-06-2028,Emirates NBD Bank (P.S.C.),1,under construction,01-04-2025,Al Furjan,104,0,Jabal Ali First,
Dubai Development Authority,PENDING,Dubai Land Residences (LLC),buildings,Bond Living,30-09-2028,Abu Dhabi Commercial Bank,1,Under registration,01-03-2026,Dubai Land Residence Complex,94,0,Wadi Al Safa 5,
Licenses,ACTIVE,Jumeirah Village (LLC),buildings,Wharf Residence by Seadoo Development,01-05-2026,First Abu Dhabi Bank PJSC,1,effective,29-02-2024,Jumeirah Village Circle,228,0,Al Barsha South Fourth,
Licenses,FINISHED,Nakheel Company (P.S.C.),buildings,Rovi Garden,06-12-2010,Mashreq Bank (Public Joint Stock Company),1,success,07-01-2007,International City Phase 1,145,0,Al Warsan First,
Dubai Development Authority,FINISHED,Emaar Development (Public Shareholding Company),Villa complex,Arabian Ranches - Joy,30-08-2022,First Abu Dhabi Bank PJSC,0,success,15-08-2019,,0,486,Wadi Al Safa 5,
Dubai Municipality,ACTIVE,Shoba LLC,buildings,Shop One,,Mashreq Bank (Public Joint Stock Company),6,effective,01-09-2023,,3057,0,Ras Al Khor Industrial First,
Dubai Municipality,FINISHED,Emaar Properties (P.S.C.),buildings,Address - Boulevard,26-03-2017,Dubai Islamic Bank (Public Joint Stock Company),1,success,01-11-2012,DownTown Dubai,543,0,Burj Khalifa,
Dubai Development Authority,NOT_STARTED,Union Properties (Public Joint Stock Company),buildings,15 Cascade,30-09-2028,Emirates NBD Bank (P.S.C.),1,under construction,30-03-2025,Motor City,440,0,Al Hebiah First,
Licenses,PENDING,Jumeirah Village (LLC),buildings,Point Residence,31-12-2025,Mashreq Bank (Public Joint Stock Company),1,Under registration,29-10-2008,Jumeirah Village Triangle,92,0,Al Barsha South Fifth,
Dubai Development Authority,FINISHED,ITA Star Real Estate Development LLC,buildings,Liberty Court,09-03-2009,#VALUE!,0,success,27-08-2007,,0,0,Zaabeel Second,
Dubai Development Authority,NOT_STARTED,Maras Real Estate (LLC),buildings,The Elysian,31-08-2027,United Bank Limited (Management Office),1,under construction,01-04-2025,Jumeirah Garden City,84,0,Al Satwa,
Dubai Development Authority,FINISHED,Dubai Sports City (LLC),buildings,Stadium Point,15-11-2015,Dubai Islamic Bank (Public Joint Stock Company),1,success,11-02-2008,Dubai Sports City,330,0,Al Hebiah Fourth,
Dubai Municipality,FINISHED,Shoba LLC,buildings,Barclay Place,31-12-2024,Commercial Bank of Dubai (P.S.C.),1,success,14-06-2022,SOBHA HARTLAND,127,0,Al Merkadh,
Licenses,PENDING,Nakheel Company (P.S.C.),buildings,Orchid Residence,30-10-2026,Emirates Islamic Bank Public Joint Stock Company,0,Under registration,01-09-2025,Jumeirah Village Circle,0,0,Al Barsha South Fourth,
Licenses,ACTIVE,Nakheel Company (P.S.C.),buildings,Azura Residences,,Dubai Islamic Bank (Public Joint Stock Company),1,effective,01-10-2024,Palm Deira,148,0,Palm Deira,
Dubai Development Authority,NOT_STARTED,North Real Estate LLC,Villa complex,Nad Al Sheba Gardens Phase 8 & 9,01-10-2028,Emirates NBD Bank (P.S.C.),0,under construction,01-09-2025,,0,201,Nad Al Shiba First,
Dubai Municipality,ACTIVE,Dubai Investments Park Development Company (LLC),Villa complex,Verdana 2,,Arab Bank for Investment and Foreign Trade (Public Shareholding Company),0,effective,31-12-2023,Dubai Investment Park First,0,209,Dubai Investment Park First,
Dubai Development Authority,FINISHED,Front Line Investment Management LLC,villas,Damac Hills (2) - Pacifica,10-02-2022,Abu Dhabi Islamic Bank,0,success,01-09-2015,DAMAC HILLS 2,0,0,Madinat Hind 4,
Dubai Development Authority,FINISHED,Gulf General Investments Company (P.S.C.),buildings,Olympic Park 1,10-11-2010,#VALUE!,1,success,29-09-2007,Dubai Sports City,126,0,Al Hebiah Fourth,
Dubai Development Authority,PENDING,Dubai Land Residences (LLC),buildings,Samana Boulevard Heights,31-12-2028,National Bank of Ras Al Khaimah PJSC,0,Under registration,01-07-2025,Dubai Land Residence Complex,0,0,Wadi Al Safa 5,
Dubai Development Authority,NOT_STARTED,North Real Estate LLC,buildings,La View Park,15-09-2027,Emirates Islamic Bank Public Joint Stock Company,1,under construction,15-09-2025,Nad Al Sheba Gardens,46,0,Nad Al Shiba First,
Dubai Development Authority,ACTIVE,DHAM Free Zone LLC,buildings,Samana Resorts,30-05-2028,Dubai Islamic Bank (Public Joint Stock Company),2,effective,01-05-2025,International Media Production Zone,969,0,Me'Aisem First,
Dubai Development Authority,FINISHED,Dubai Hills Estate LLC,buildings,Park Ridge,08-05-2022,Commercial Bank of Dubai (P.S.C.),3,success,01-11-2017,Dubai Hills Estate,1056,0,Hadaeq Sheikh Mohammed Bin Rashid,
Licenses,FINISHED,Jumeirah Village (LLC),buildings,Ben Ghati Amber,30-10-2024,Sharjah Islamic Bank,1,success,01-06-2023,Jumeirah Village Circle,658,0,Al Barsha South Fourth,
Dubai Development Authority,FINISHED,Dubai Properties (LLC),buildings,Mayfair Tower,13-03-2011,Dubai Islamic Bank (Public Joint Stock Company),1,success,16-08-2007,Business Bay,224,0,Business Bay,
Licenses,NOT_STARTED,Mina Rashid Real Estate LLC,buildings,Marina Place 2,31-12-2028,Emirates Islamic Bank Public Joint Stock Company,1,under construction,24-04-2025,Mina Rashid,180,0,Madinat Dubai Almelaheyah,
Dubai Development Authority,ACTIVE,Al Jazeera Real Estate Oasis (LLC),villas,Damac Lagoons - Marbella,31-12-2025,Emirates NBD Bank (P.S.C.),0,effective,12-02-2023,,0,0,Al Hebiah Fifth,
Licenses,FINISHED,International City (LLC),buildings,Dragon View,31-08-2016,Mashreq Bank (Public Joint Stock Company),1,success,27-12-2014,International City Phase 1,120,0,Al Warsan First,
Dubai Municipality,FINISHED,Midan Group (LLC),buildings,Dear Rivera 27,30-06-2023,Abu Dhabi Commercial Bank,1,success,12-12-2018,Meydan One Community,234,0,Al Merkadh,
Dubai Development Authority,FINISHED,Dubai Creek Harbour LLC,buildings,Creek Beach - Surf,07-03-2023,Mashreq Bank (Public Joint Stock Company),2,success,24-09-2019,Dubai Creek Harbour,173,0,Al Khairan First,
Dubai Development Authority,ACTIVE,Liwan (LLC),buildings,Lazurd Bay Lapis,31-12-2026,Mashreq Bank (Public Joint Stock Company),1,effective,01-01-2025,Majan,313,0,Wadi Al Safa 3,
Licenses,FINISHED,International City (LLC),buildings,Zouj Gao Jia,11-02-2020,Emirates NBD Bank (P.S.C.),0,success,13-11-2017,International City Phase 1,0,0,Al Warsan First,
Dubai Development Authority,NOT_STARTED,Dubai Land (LLC),buildings,Rise of Athlon 2,30-01-2030,First Abu Dhabi Bank PJSC,2,under construction,15-01-2026,,407,0,Wadi Al Safa 5,
Dubai Silicon Oasis Authority,FINISHED,Dubai Integrated Economic Zones Authority,buildings,Platinum Residence 1,31-10-2016,Dubai Islamic Bank (Public Joint Stock Company),1,success,08-09-2013,Silicon Oasis,120,0,Nadd Hessa,
Dubai Development Authority,ACTIVE,The Lagoons Phase One LLC,buildings,Creek Waters,30-09-2027,First Abu Dhabi Bank PJSC,1,effective,15-08-2023,Dubai Creek Harbour,453,0,Al Khairan First,
Dubai Municipality,FINISHED,Midan Group (LLC),buildings,Dear Rivera 24,30-03-2023,Abu Dhabi Commercial Bank,1,success,12-12-2018,Meydan One Community,211,0,Al Merkadh,
Dubai Development Authority,FINISHED,Damac Crescent Properties (LLC),villas,Damac Hills - The Field,25-03-2019,Abu Dhabi Commercial Bank,0,success,01-12-2013,DAMAC HILLS,0,0,Al Hebiah Third,
Dubai Development Authority,ACTIVE,Al Jazeera Real Estate Oasis (LLC),villas,Damac Lagoons - Malta (2),29-09-2025,First Abu Dhabi Bank PJSC,0,effective,23-08-2022,,0,0,Al Hebiah Fifth,
Licenses,ACTIVE,Jumeirah Village (LLC),buildings,Parkwood Residences,30-10-2025,Mashreq Bank (Public Joint Stock Company),1,effective,31-12-2023,Jumeirah Village Circle,174,0,Al Barsha South Fourth,
Licenses,FINISHED,Jumeirah Village (LLC),buildings,The Heaven Residences,15-04-2022,Dubai Islamic Bank (Public Joint Stock Company),1,success,15-06-2020,Jumeirah Village Circle,161,0,Al Barsha South Fourth,
Dubai Development Authority,FINISHED,Emaar Properties (P.S.C.),villas,Arabian Ranches - Azalea Community,19-05-2019,Emirates NBD Bank (P.S.C.),0,success,29-01-2015,Arabian Ranches II - AZALEA,0,103,Wadi Al Safa 7,
Dubai Development Authority,ACTIVE,Majid Al Futtaim Integrated Cities Projects UAE LLC,Villa complex,Plagate 32,,Emirates NBD Bank (P.S.C.),0,effective,15-06-2024,TILAL AL GHAF,0,32,Al Hebiah Fourth,
Dubai Development Authority,PENDING,Dubai Land Residences (LLC),buildings,Ayum 99 Residence,31-12-2028,Emirates NBD Bank (P.S.C.),1,Under registration,01-08-2025,Dubai Land Residence Complex,186,0,Wadi Al Safa 5,
Licenses,FINISHED,Al Farjan (LLC),buildings,Prime Residence 3,06-12-2024,Mashreq Bank (Public Joint Stock Company),1,success,01-06-2021,Al Furjan,292,0,Jabal Ali First,
Licenses,ACTIVE,Jumeirah Village (LLC),buildings,The Residence by Prestige One,31-03-2025,Abu Dhabi Commercial Bank,1,effective,06-09-2023,Jumeirah Village Circle,98,0,Al Barsha South Fourth,
Dubai Silicon Oasis Authority,PENDING,Dubai Integrated Economic Zones Authority,buildings,Solin Residence by Jamal Living,30-10-2027,Mashreq Bank (Public Joint Stock Company),1,Under registration,20-08-2025,Silicon Oasis,87,0,Nadd Hessa,
Dubai Development Authority,ACTIVE,Al Jazeera Real Estate Oasis (LLC),villas,Damac Lagoons - Morocco 1,,Emirates NBD Bank (P.S.C.),0,effective,29-08-2023,DAMAC Lagoons,0,0,Al Hebiah Fifth,
Dubai South,NOT_STARTED,Dubai Aviation City Corporation,buildings,Greenfield Living,31-12-2026,Abu Dhabi Commercial Bank,1,under construction,01-04-2025,Dubai South Residential District,52,0,Madinat Al Mataar,
Dubai Municipality,FINISHED,Midan Group (LLC),buildings,Canal Front Residences CF1 and CF2,31-03-2024,Emirates NBD Bank (P.S.C.),2,success,01-10-2019,Dubai Water Canal,154,0,Al Wasl,
Licenses,FINISHED,Jumeirah Village (LLC),buildings,Lucy Residence,31-03-2023,Dubai Islamic Bank (Public Joint Stock Company),1,success,09-01-2018,Jumeirah Village Circle,114,0,Al Barsha South Fourth,
Dubai Development Authority,FINISHED,Liwan (LLC),buildings,Aras Residence,22-06-2022,Emirates NBD Bank (P.S.C.),1,success,22-02-2020,Majan,96,0,Wadi Al Safa 3,
Licenses,FINISHED,Jumeirah Park (LLC),villas,Jumeirah Park 7A,30-04-2016,Mashreq Bank (Public Joint Stock Company),0,success,01-12-2013,Jumeirah Park,0,218,Al Thanyah Fifth,
Licenses,FINISHED,Jumeirah Village (LLC),buildings,Jewel Tower,12-03-2020,Abu Dhabi Commercial Bank,1,success,31-08-2016,,532,0,Al Barsha South Fifth,
Dubai Municipality,FINISHED,Midan Group (LLC),buildings,The Galleries,04-02-2019,Dubai Islamic Bank (Public Joint Stock Company),1,success,01-09-2015,Meydan Racecourse Community,48,0,Nad Al Shiba First,
Dubai Municipality,FINISHED,Emaar Properties (P.S.C.),buildings,Burj Khalifa towers,01-01-2012,#VALUE!,1,success,01-01-2004,DownTown Dubai,1080,0,Burj Khalifa,
Dubai Development Authority,FINISHED,Business Bay (LLC),buildings,"Oops, from wishes",30-10-2017,Abu Dhabi Islamic Bank,1,success,26-05-2008,Business Bay,286,0,Business Bay,
Licenses,FINISHED,Nakheel Company (P.S.C.),villas,"Badra, first stage",30-07-2014,#VALUE!,8,success,11-11-2012,Badra,448,0,Hessyan First,
Licenses,NOT_STARTED,Nakheel Company (P.S.C.),buildings,Octa Aile Interior Designs by Missoni,30-09-2027,Emirates NBD Bank (P.S.C.),1,under construction,01-08-2025,Palm Deira,112,0,Palm Deira,
Licenses,ACTIVE,Jumeirah Village (LLC),buildings,99 PARK PLACE,31-12-2025,Emirates Islamic Bank Public Joint Stock Company,1,effective,20-02-2024,Jumeirah Village Circle,102,0,Al Barsha South Fourth,
Dubai Development Authority,ACTIVE,Liwan (LLC),buildings,Marquez Galleria,31-12-2024,Emirates Islamic Bank Public Joint Stock Company,1,effective,01-02-2023,Arjan,126,0,Al Barshaa South Third,
Licenses,FINISHED,Jumeirah Village (LLC),buildings,Crystal Residence,20-12-2018,First Abu Dhabi Bank PJSC,1,success,01-04-2016,Jumeirah Village Circle,225,0,Al Barsha South Fourth,
Licenses,FINISHED,Jumeirah Village (LLC),buildings,Sandoval Lane,12-12-2010,Emirates NBD Bank (P.S.C.),0,success,15-02-2009,Jumeirah Village Circle,0,20,Al Barsha South Fourth,
Dubai Development Authority,ACTIVE,DHAM Free Zone LLC,buildings,Laya Courtyard,26-12-2026,Emirates NBD Bank (P.S.C.),2,effective,01-10-2023,Dubai Studio City,289,0,Al Hebiah Second,
Dubai Development Authority,FINISHED,Dubai Healthcare City Free Zone LLC,buildings,Farhad Azizi Residence,14-07-2022,Abu Dhabi Commercial Bank,1,success,01-07-2017,Dubai Health Care City Phase 2,662,0,Al Jadaf,
Dubai South,ACTIVE,Dubai Aviation City Corporation,buildings,Dear Venice 13,16-09-2027,Abu Dhabi Commercial Bank,2,effective,16-09-2024,Dubai World Central,1888,0,Madinat Al Mataar,
Dubai Development Authority,FINISHED,Liwan (LLC),buildings,Oxford Garedens,30-03-2025,Emirates NBD Bank (P.S.C.),1,success,11-07-2023,Arjan,240,0,Al Barshaa South Third,
Dubai Development Authority,FINISHED,Dubai Sports City (LLC),villas,Estella 2,,Dubai Islamic Bank (Public Joint Stock Company),0,success,30-10-2023,Dubai Sports City,0,0,Al Hebiah Fourth,
Dubai Municipality,FINISHED,Midan Group (LLC),buildings,CF3 & CF4 - Canal Front Residences,30-06-2024,Emirates NBD Bank (P.S.C.),2,success,01-01-2018,Dubai Water Canal,106,0,Al Wasl,
Dubai Development Authority,FINISHED,Emaar Development (Public Shareholding Company),Villa complex,Arabian squares - Ruba,25-03-2023,First Abu Dhabi Bank PJSC,0,success,18-02-2020,,0,430,Wadi Al Safa 5,
Licenses,NOT_STARTED,Dubai Maritime City LLC,buildings,Frank Muller Ygeting,29-07-2028,Abu Dhabi Islamic Bank,1,under construction,30-07-2025,Dubai Maritime City,585,0,Madinat Dubai Almelaheyah,
Licenses,ACTIVE,Dubai Maritime City LLC,buildings,Nautica One,,Emirates NBD Bank (P.S.C.),1,effective,19-10-2023,Dubai Maritime City,328,0,Madinat Dubai Almelaheyah,
Dubai Municipality,ACTIVE,Midan Group (LLC),Villa complex,Loa Residences,31-03-2026,Emirates Islamic Bank Public Joint Stock Company,0,effective,01-05-2024,Mohammed Bin Rashid AL Maktoum District 11,0,37,Wadi Al Safa 3,
Dubai Development Authority,FINISHED,Tanmiyat Global Real Estate Development LLC,Villa complex,Maya Townhouse,05-07-2023,Emirates NBD Bank (P.S.C.),0,success,05-05-2022,Living Legends,0,30,Wadi Al Safa 3,
Dubai Development Authority,ACTIVE,Dubai Land Residences (LLC),buildings,Cove Living Residence by Franchise,,First Abu Dhabi Bank PJSC,1,effective,15-04-2024,Dubai Land Residence Complex,744,0,Wadi Al Safa 5,
Licenses,ACTIVE,Jumeirah Village (LLC),buildings,Ashwood Residences by Skyland Horizons Real Estate Development,31-03-2027,Bank of Baroda,1,effective,01-04-2025,Jumeirah Village Triangle,153,0,Al Barsha South Fifth,
Dubai Development Authority,ACTIVE,Business Bay (LLC),buildings,Peninsula Two,01-09-2024,Emirates NBD Bank (P.S.C.),1,effective,01-11-2021,Business Bay,462,0,Business Bay,
Licenses,PENDING,Nakheel Company (P.S.C.),buildings,W1,04-12-2025,Abu Dhabi Islamic Bank,0,Under registration,14-03-2024,Al Furjan,0,0,Jabal Ali First,
Licenses,FINISHED,Jumeirah Village (LLC),buildings,The One at Jumeirah Village Triangle,31-01-2022,Abu Dhabi Islamic Bank,1,success,01-02-2016,Jumeirah Village Triangle,593,0,Al Barsha South Fifth,
Dubai Development Authority,FINISHED,Business Bay (LLC),buildings,Prime Tower,18-11-2014,Dubai Islamic Bank (Public Joint Stock Company),1,success,01-12-2007,Business Bay,206,0,Business Bay,
Dubai South,ACTIVE,Dubai Aviation City Corporation,buildings,Dear Venice 9,,Dubai Islamic Bank (Public Joint Stock Company),2,effective,23-10-2023,Dubai World Central,774,0,Madinat Al Mataar,
Dubai Development Authority,FINISHED,Nashmi Development LLC,buildings,Boulevard Life,29-02-2020,Dubai Islamic Bank (Public Joint Stock Company),4,success,28-10-2016,TOWN SQUARE,678,0,Al Yelayiss 2,
Dubai Development Authority,FINISHED,Emaar Properties (P.S.C.),buildings,Mada Residence Tower,30-06-2018,Emirates Islamic Bank Public Joint Stock Company,1,success,01-09-2015,DownTown Dubai,193,0,Burj Khalifa,
Licenses,NOT_STARTED,Dubai Maritime City LLC,buildings,Next,30-06-2028,Emirates NBD Bank (P.S.C.),1,under construction,30-03-2026,Dubai Maritime City,354,0,Madinat Dubai Almelaheyah,
Dubai Municipality,FINISHED,Medan City Foundation,buildings,The Polo Residence,17-05-2017,Emirates NBD Bank (P.S.C.),29,success,05-10-2014,Meydan Racecourse Community,872,0,Nad Al Shiba First,
Dubai Development Authority,ACTIVE,Liwan (LLC),buildings,Rose Gardens 3,02-05-2026,Emirates NBD Bank (P.S.C.),1,effective,17-09-2024,Arjan,49,0,Al Barshaa South Third,
